Owner,Type,Path,Method,KPI,Rate,Note
Custom,Class,Lwjgl3Main,public void run(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void init(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void loop(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void main(String[] args),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,PlayerManager,public PlayerManager(WordEntitiesManager words),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void update(float delta, int charCount)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public boolean isDead(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void hurt(int damage),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void addScore(int points),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public Vec2 getPosition(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordCompleted(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordMissed(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordProgress(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,InputHandler,public InputHandler(WordEntitiesManager words),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public void update(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Interface,WordEffect,record Normal() implements WordEffect,ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,record Hidden(int count) implements WordEffect,ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,"Hides the last N characters of the word until the user types enough correct
characters to reveal them."
,,,"record Repeat(int count, int typedCount) implements WordEffect",ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,User have to type this word N times in a row to complete it.
,,,public Repeat(int count),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,public Repeat incrementTypedCount(),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,public boolean isCompleted(),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,static WordEffect randomEffect(WordEntity wordEntity),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,static float getScoreMultipler(WordEffect effect),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
,,,static float getDamageMultipler(WordEffect effect),ให้พัฒนา Interface ขึ้นเอง (Custom Interface),,
Custom,Class,WordEntitiesManager,"public WordEntitiesManager(AnimationClip wordAnimationClip, boolean manualSpawn)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void init(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(TextureBatch batch, FontAtlas font)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void addListener(WordEntitiesListener listener),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private int selectLane(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Selects a lane for a new word entity to spawn in based on the lane cooldowns.
Lanes with no cooldown are selected, and if there are multiple, one is
randomly chosen. If all lanes are on cooldown, a random lane is selected."
,,,private List<String> generateUniqueWordsCandidate(int count),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Generates a list of unique candidate words not already in the current word
list."
,,,public void addNewEntites(int count),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Generates a new word entity/entites and adds it to the current word list.
Ensured that the generated word(s) is not already in the current word list."
,,,public void checkAndRemoveMatchedWord(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Checks if any word in the current word list matches the current input
buffer (prefixes), if so, removes the matched word and generates a new
one. Also handles clearing the input buffer if necessary."
,,,public Vector<WordEntity> getWordEntities(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void removeInactive(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public ArrayList<Collidable> getCollidables(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void clearWordList(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void clearInputBuffer(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void addInputChar(char c),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void removeInputChar(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,WordEntity,"public WordEntity(AnimationClip clip, String word, float xPosition, float speed, int lane)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int getLayer(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int getMask(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onCollision(Collidable other),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(TextureBatch batch, FontAtlas font)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void setEffect(WordEffect effect),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Stage,public Stage(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public Stage(StageConfig config),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderWorld(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderUI(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,protected String getSelectedPlayerTexturePath(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Stage1,public Stage1(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,OverrunStage,public OverrunStage(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public OverrunStage(StageConfig config),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,SpawnPhase,"public SpawnPhase(int count, int timerAt)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,StageConfig,public String soundToStopOnInit(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public String backgroundTexturePath(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public String fontPath(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int fontSize(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public AnimationClip entityTexture(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public boolean manualSpawn(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public SpawnPhase[] spawnPhases(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float maxTime(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,StageConfigs,private StageConfigs(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,new AnimationClip(new Texture[],ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,new AnimationClip(new Texture[],ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,new AnimationClip(new Texture[],ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,new AnimationClip(new Texture[],ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,new AnimationClip(new Texture[],ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String[] getPlayerTexturePaths(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String getStageBackgroundPaths(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String[] getStageButtonPaths(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String getSolidTexturePath(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String getButtonTexturePath(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static StageConfig getStageConfig(int stageIndex),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static String getStageName(int stageIndex),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,Stage3,public Stage3(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Stage2,public Stage2(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Stage4,public Stage4(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Projectile,"public Projectile(Vec2 position, Vec2 size, Vec2 direction, float speed)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void render(TextureBatch batch),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onCollision(Collidable other),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int getLayer(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int getMask(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,ProjectileManager,public void spawnProjectile(Projectile projectile),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void render(TextureBatch batch),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void removeInactive(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public ArrayList<Collidable> getCollidables(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordCompleted(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordMissed(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onWordProgress(WordEntity wordEntity),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Main,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderUI(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Setting,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderUI(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,tutorial,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderUI(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,StageMenu,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
